2016-03-20 11:18:59 status unpacked libtext-charwidth-perl:armhf 0.04-7+b5
2016-03-20 11:18:59 install libtext-iconv-perl:armhf <none> 1.7-5+b3
2016-03-20 11:18:59 status half-installed libtext-iconv-perl:armhf 1.7-5+b3
2016-03-20 11:18:59 status unpacked libtext-iconv-perl:armhf 1.7-5+b3
2016-03-20 11:18:59 status unpacked libtext-iconv-perl:armhf 1.7-5+b3
2016-03-20 11:18:59 install libtext-wrapi18n-perl:all <none> 0.06-7.1
2016-03-20 11:18:59 status half-installed libtext-wrapi18n-perl:all 0.06-7.1
2016-03-20 11:18:59 status unpacked libtext-wrapi18n-perl:all 0.06-7.1
2016-03-20 11:18:59 status unpacked libtext-wrapi18n-perl:all 0.06-7.1
2016-03-20 11:19:00 install libtinfo5:armhf <none> 6.0+20160213-1
2016-03-20 11:19:00 status half-installed libtinfo5:armhf 6.0+20160213-1
2016-03-20 11:19:00 status unpacked libtinfo5:armhf 6.0+20160213-1
2016-03-20 11:19:00 status unpacked libtinfo5:armhf 6.0+20160213-1
2016-03-20 11:19:00 install libudev1:armhf <none> 229-2
2016-03-20 11:19:00 status half-installed libudev1:armhf 229-2
2016-03-20 11:19:00 status unpacked libudev1:armhf 229-2
2016-03-20 11:19:00 status unpacked libudev1:armhf 229-2
2016-03-20 11:19:01 install libustr-1.0-1:armhf <none> 1.0.4-5
2016-03-20 11:19:01 status half-installed libustr-1.0-1:armhf 1.0.4-5
2016-03-20 11:19:01 status unpacked libustr-1.0-1:armhf 1.0.4-5
2016-03-20 11:19:01 status unpacked libustr-1.0-1:armhf 1.0.4-5
2016-03-20 11:19:01 install libuuid1:armhf <none> 2.27.1-5kali1
2016-03-20 11:19:01 status half-installed libuuid1:armhf 2.27.1-5kali1
2016-03-20 11:19:01 status unpacked libuuid1:armhf 2.27.1-5kali1
2016-03-20 11:19:01 status unpacked libuuid1:armhf 2.27.1-5kali1
2016-03-20 11:19:01 install login:armhf <none> 1:4.2-3.1
2016-03-20 11:19:01 status half-installed login:armhf 1:4.2-3.1
2016-03-20 11:19:02 status unpacked login:armhf 1:4.2-3.1
2016-03-20 11:19:02 status unpacked login:armhf 1:4.2-3.1
2016-03-20 11:19:03 install lsb-base:all <none> 9.20160110
2016-03-20 11:19:03 status half-installed lsb-base:all 9.20160110
2016-03-20 11:19:03 status unpacked lsb-base:all 9.20160110
2016-03-20 11:19:03 status unpacked lsb-base:all 9.20160110
2016-03-20 11:19:03 upgrade mawk:armhf 1.3.3-17+b1 1.3.3-17+b1
